"filename", "language", "Python", "comment", "blank", "total"
"h:\SoftDev\xFRA\xFRA\custom_plot_widget\waveWidget.py", "Python", 7, 3, 3, 13
"h:\SoftDev\xFRA\xFRA\main.py", "Python", 25, 2, 0, 27
"h:\SoftDev\xFRA\xFRA\plot_widget.py", "Python", 2, 0, 1, 3
"h:\SoftDev\xFRA\xFRA\trace_config.py", "Python", -20, -10, -3, -33
"Total", "-", 14, -5, 1, 10
